Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:06:48 | 1924 | GradleDaemon | 2295.1MB | 3314.0MB | 5592.7MB
00:06:48 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:56 | 7923 | GradleWorkerMain | 319.7MB | 1708.0MB | 2135.9MB
00:06:56 | 7108 | KotlinCompileDaemon | 429.1MB | 2005.5MB | 3057.1MB
00:06:56 | 1924 | GradleDaemon | 2987.6MB | 3314.0MB | 5603.7MB
00:06:56 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:03 | 7923 | GradleWorkerMain | 955.7MB | 1640.0MB | 2137.4MB
00:07:03 | 7108 | KotlinCompileDaemon | 219.5MB | 1912.5MB | 3077.4MB
00:07:03 | 1924 | GradleDaemon | 2872.0MB | 3314.0MB | 5617.4MB
00:07:03 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:11 | 7923 | GradleWorkerMain | 795.8MB | 1704.0MB | 2139.2MB
00:07:11 | 7108 | KotlinCompileDaemon | 851.1MB | 1931.0MB | 3022.0MB
00:07:11 | 1924 | GradleDaemon | 2807.1MB | 3364.0MB | 5589.8MB
00:07:11 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:19 | 7923 | GradleWorkerMain | 511.9MB | 1704.0MB | 2140.2MB
00:07:19 | 7108 | KotlinCompileDaemon | 1061.2MB | 1988.0MB | 3048.8MB
00:07:19 | 1924 | GradleDaemon | 2717.1MB | 3364.0MB | 5597.7MB
00:07:19 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:27 | 7923 | GradleWorkerMain | 1135.9MB | 1632.0MB | 2141.8MB
00:07:27 | 7108 | KotlinCompileDaemon | 1298.7MB | 2021.0MB | 3065.9MB
00:07:27 | 1924 | GradleDaemon | 2667.5MB | 3418.5MB | 5602.8MB
00:07:27 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:35 | 7923 | GradleWorkerMain | 948.0MB | 1704.0MB | 2143.4MB
00:07:35 | 7108 | KotlinCompileDaemon | 1402.8MB | 2029.0MB | 3072.3MB
00:07:35 | 1924 | GradleDaemon | 2626.3MB | 3418.5MB | 5631.2MB
